'Produktname','Geschlecht','Schuhgröße','Farbe','Material',"'Anzahl im Lager'"
"Schuh “YellowSun”",Damen,35,gelb,Leder,0
"Schuh “YellowSun”",Damen,36,gelb,Leder,23
"Schuh “YellowSun”",Damen,37,gelb,Leder,24
"Schuh “YellowSun”",Damen,38,gelb,Leder,345
"Schuh “YellowSun”",Damen,39,gelb,Leder,12
"Schuh “DancingWind”",Damen,32,"grün türkis",Baumwolle,5
"Schuh “DancingWind”",Damen,33,"grün türkis",Baumwolle,0
"Schuh “DancingWind”",Damen,34,"grün türkis",Baumwolle,25
"Schuh “DancingWind”",Damen,37,"grün türkis",Baumwolle,346
"Schuh “DancingWind”",Damen,38,"grün türkis",Baumwolle,13
